Objects
300
,,Global Angle abb4400_tcp:abb4400_tcp,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.725460,2.037610,0.029314,42.242245,-1034.831543,2034.242676
2,0,0.725483,2.037598,0.029329,42.239426,-1034.833252,2034.242676
3,0,0.725474,2.037569,0.029308,42.237106,-1034.829590,2034.244751
4,0,0.725472,2.037590,0.029312,42.236332,-1034.829468,2034.246216
5,0,0.725467,2.037586,0.029266,42.232216,-1034.823242,2034.245483
6,0,0.725469,2.037596,0.029290,42.234798,-1034.828491,2034.244507
7,0,0.725471,2.037578,0.029271,42.237522,-1034.839722,2034.242676
8,0,0.725462,2.037576,0.029265,42.232059,-1034.828247,2034.244507
9,0,0.725442,2.037578,0.029323,42.234848,-1034.832031,2034.242920
10,0,0.725449,2.037587,0.029345,42.234795,-1034.824951,2034.242188
11,0,0.725450,2.037583,0.029273,42.233555,-1034.822632,2034.244751
12,0,0.725459,2.037602,0.029308,42.228271,-1034.819702,2034.247192
13,0,0.725413,2.037560,0.029283,42.232941,-1034.819580,2034.248291
14,0,0.725438,2.037566,0.029288,42.229103,-1034.820923,2034.244507
15,0,0.725404,2.037585,0.029274,42.233509,-1034.826660,2034.245483
16,0,0.725402,2.037562,0.029259,42.233955,-1034.831665,2034.246216
17,0,0.725378,2.037565,0.029269,42.229057,-1034.823975,2034.248169
18,0,0.725379,2.037576,0.029245,42.231770,-1034.831787,2034.247437
19,0,0.725389,2.037571,0.029277,42.229469,-1034.828979,2034.250244
20,0,0.725392,2.037555,0.029231,42.230686,-1034.828979,2034.250732
21,0,0.725393,2.037553,0.029225,42.229580,-1034.823486,2034.253418
22,0,0.725355,2.037541,0.029222,42.228241,-1034.824097,2034.251953
23,0,0.725347,2.037568,0.029205,42.226070,-1034.816650,2034.251709
24,0,0.725392,2.037567,0.029240,42.224957,-1034.818359,2034.250488
25,0,0.725362,2.037545,0.029202,42.229229,-1034.822510,2034.248291
26,0,0.725327,2.037557,0.029184,42.228298,-1034.825439,2034.245972
27,0,0.725357,2.037595,0.029207,42.233650,-1034.831299,2034.243164
28,0,0.725371,2.037529,0.029229,42.231003,-1034.825073,2034.244995
29,0,0.725377,2.037547,0.029196,42.230293,-1034.829712,2034.246460
30,0,0.725363,2.037539,0.029218,42.231434,-1034.827271,2034.245972
31,0,0.725364,2.037571,0.029222,42.231583,-1034.828003,2034.247437
32,0,0.725398,2.037544,0.029232,42.230495,-1034.830322,2034.246216
33,0,0.725371,2.037556,0.029194,42.234379,-1034.832764,2034.249023
34,0,0.725390,2.037553,0.029212,42.229717,-1034.826782,2034.248535
35,0,0.725373,2.037560,0.029236,42.230515,-1034.830322,2034.244751
36,0,0.725383,2.037549,0.029221,42.232861,-1034.836060,2034.244751
37,0,0.725399,2.037549,0.029261,42.232628,-1034.837769,2034.244751
38,0,0.725410,2.037548,0.029216,42.233715,-1034.834106,2034.243164
39,0,0.725410,2.037533,0.029223,42.230869,-1034.828003,2034.244751
40,0,0.725399,2.037547,0.029233,42.231289,-1034.831543,2034.243530
41,0,0.725424,2.037552,0.029256,42.233456,-1034.829712,2034.242432
42,0,0.725401,2.037562,0.029228,42.234005,-1034.835083,2034.239258
43,0,0.725436,2.037535,0.029262,42.235813,-1034.837280,2034.240723
44,0,0.725437,2.037547,0.029254,42.230698,-1034.835327,2034.240234
45,0,0.725419,2.037554,0.029254,42.232487,-1034.836548,2034.236450
46,0,0.725436,2.037545,0.029223,42.233791,-1034.838379,2034.240967
